,ID,Date,Text,Health and Safety,Environmental Protection,State and Local Regulation,Urgency and Action
0,EPA-HQ-OPP-2024-0562-0055,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations. It is hard for me to understand just why the powers that be want the American public to be unhealthy by continuing consuming low to moderate doses of toxins. Under the concept of states' rights, states should be able to protect the health of their citizens when the citizens demand it.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Anne Ambler
Silver Spring, MD 20902-1443",True,True,True,True
1,EPA-HQ-OPP-2024-0562-0102,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations - it's clear to me we need more of them not less.

Toxic chemicals have no place on this planet, this beautiful planet that we call home and it is high time we all take care of what supports and gives life to us.
There is no plan B for Earth. It is completely ridiculous to me that we allow the nonsense to continue in any way.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Jennifer Abbott
Stonington, CT 06378-1435",True,True,True,True
2,EPA-HQ-OPP-2024-0562-0083,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I live in an area where there are lots of sports activities for children of most ages. There are also many very nice golf courses for club members as well as the public. Therefore, I am very concerned about our children regarding pesticides and herbicides.

Also, I am greatly concerned about the run-off from these items. We have lots of farms for cattle, sheep and vegetables. However, I have to be very careful what I buy as I have multiple autoimmune issues which are aggravated by chemicals in my food.

I urge you to take serious action to protect these important local laws.

Thank you,
Joanetta Lauderdale
Auburn, AL 36830-6902",True,True,True,True
3,EPA-HQ-OPP-2024-0562-0106,"Posted by the Environmental Protection Agency on Feb 7, 2025","Having been born in the 50's, I know the damages pesticides wreak on humans and the rest of the planet (think bald eagles, Silent Spring, etc) Living in a small rural community, I have also lost two friends from illness certified as directly caused by pesticides deemed ""safe"" by manufacturers.

Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Dianne Brooke
Cambria, CA 93428-0545",True,True,True,True
4,EPA-HQ-OPP-2024-0562-0062,"Posted by the Environmental Protection Agency on Feb 7, 2025","I am university pesticide safety educator and researcher. I am writing on behalf of myself, but I urge you to reject any efforts that try to overturn state and local pesticide regulations. This would be anti-democratic and government overreach. States and localities should be able to decide if they want additional rules or restrictions to protect the environment and their health.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Meredith Cocks
Eddyville, OR 97343-9719",True,True,True,True
5,EPA-HQ-OPP-2024-0562-0064,"Posted by the Environmental Protection Agency on Feb 7, 2025","In regards to overturn state and local pesticide regulations I believe that the stricter regulations should always be the one enforced in order to protect humans and animals from the potential consequences the use of pesticides brings with them.

Thank you,
Christine Metzler
Somerville, MA 02145-3631",True,True,True,False
6,EPA-HQ-OPP-2024-0562-0088,"Posted by the Environmental Protection Agency on Feb 7, 2025","You have been given the honor and the responsibility to be the protectors of the environment of the United States and I ask that you do so. Furthermore, I believe it should be the right and responsibility of state and local communities to act to protect the environment and the people within their jurisdiction from any and all harm. I urge you now, to please protect Americans from harmful pesticides and reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Susan I Morrison
Sutton, VT 05867-9669",True,True,True,True
7,EPA-HQ-OPP-2024-0562-0103,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws. Our country needs to do a better job of protecting people and natural resources. The science is clearly there on how damaging chemical pesticides are to all life so please step up and protect our communities. Be the heros in this situation so that the people of our country can trust that you listen and have everyone's best interests at heart.

Thank you,
Charissa Callison
White Salmon, WA 98672-2069",True,True,True,True
8,EPA-HQ-OPP-2024-0562-0056,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect our local communities, innocent and vulnerable children, who are the future of our human civilization. We have fought hard to safeguard ourselves and our future generations from harmful pesticides. These decisions should be left to the local constituents because these regulations have a direct impact on our health.

Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Catherine Wong
Monterey Park, CA 91755-6732",True,True,True,True
9,EPA-HQ-OPP-2024-0562-0060,"Posted by the Environmental Protection Agency on Feb 7, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Regulations are always, always, always, ""written in blood"". People suffered or died, so laws were made to protect our children. Removing or blocking these laws is a direct harm to citizens and our children, our future. It is the responsibility of government to PROTECT all citizens, not to endanger them whether for profit or any other reason.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Sarah Strong
Hadley, MA 01035-9717",True,True,True,True
