,ID,Date,Text
0,EPA-HQ-OPP-2024-0562-0501,"Posted by the Environmental Protection Agency on Feb 19, 2025","I don't know what to comment, other than any entity trying to prevent consumers from protecting themselves through wrongful injury litigation from an industry's products, through product liability shield laws, is absolutely unAmerican and wrong. It has already been done once and it has paved the way for massive overprofiting and mandated use of products. This has only put industry over consumers. It is, again, wrong. Regulations should be put in place always to protect consumers first. If a product is safe, it should be able to withstand the scrutiny of consumers, and the maker should have to respond to accusations of harm by changing its products to be safer. Thank you for reading my comments."
1,EPA-HQ-OPP-2024-0562-0504,"Posted by the Environmental Protection Agency on Feb 19, 2025","Please stop this reckless doubling down on severely deteriorating our own health source and biophysical basis of existence! We are the only species who self destructs. Not only that, bizarrely, we do it willingly. Why on Earth are we like this? Please, be better. Lead by example. Be responsible. Think about your loved ones. Think about the youth today and yet to be born generations. Stop this utter madness."
2,EPA-HQ-OPP-2024-0562-0503,"Posted by the Environmental Protection Agency on Feb 19, 2025","Please protect our people from harmful pesticides. I urge the EPA to reject all attempts to overturn state and local pesticide regulations.

Pesticide regulations must be a locally decided matter, determined by the citizens that of each state and city. It is extremely important that we protect vulnerable people, especially children, from toxic pesticides. It is essential that local authorities notify residents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Shelley Nayak
Louisville, CO 80027-1618"
3,EPA-HQ-OPP-2024-0562-0502,"Posted by the Environmental Protection Agency on Feb 19, 2025","As a farmer from Arkansas, I'm sad my state's Attorney General is a part of this. But if these states want to have pesticide labeling in their state that's consistent with EPA's findings and conclusions, then that's their choice. Other states should be able to make decisions based on their own findings and conclusions in their efforts to protect their residents from harm. This proposed rule seems like something meant to benefit pesticide manufactures rather than protect the people potentially exposed to harm. We should error (if error it is) on the side of safeguarding people's health. Please don't support this proposed modification to override local rules."
4,EPA-HQ-OPP-2024-0562-0478,"Posted by the Environmental Protection Agency on Feb 18, 2025","The EPA was created to protect Americans. Clearly it is now protecting Big Chem. We need for you to start protecting us, or at the very least allowing us to protect ourselves. This can't happen with you blocking laws put in place to protect us.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
ANNE TEMPLE
Milwaukee, WI 53223-5929"
5,EPA-HQ-OPP-2024-0562-0494,"Posted by the Environmental Protection Agency on Feb 18, 2025",As someone who was harmed by a chemical exposure I urge you to maintain the ability of states to warn of pesticide hazards and issue product label restrictions. These are necessary for me to maintain the health that I still have and will prevent the harm and potential death of many others.
6,EPA-HQ-OPP-2024-0562-0454,"Posted by the Environmental Protection Agency on Feb 18, 2025","States and local governments often take creative measures to protect people, land, and water from hazards. States and local governments believe in their right to protect their residents from poisoning and contamination, a right that has been upheld by the U.S. Supreme Court. The only conclusion that can be derived from the petition is that the AGs do not care if the people, including farmers, of their states are harmed by pesticides, and they should not be able to seek compensation if they suffer adverse effects due to a failure to warn on a pesticide label. The courts have upheld a state’s and manufacturer’s “duty to warn” of pesticide hazards as a right and responsibility that is not at odds with “misbranding” regulations under federal pesticide law.

Please uphold the rights of states and deny the AG petition.

Thank you.

Sincerely,
MS Joyce Weir
HERBS Dr Newport, WA 99156
jaweir@povn.com"
7,EPA-HQ-OPP-2024-0562-0455,"Posted by the Environmental Protection Agency on Feb 18, 2025",Please don't increase the risk of poisoning by allowing this product on the market without strong warnings. All kinds of animals - and that includes us -are at risk any time toxic chemicals are used. To put them on the market without clear statements of the dangers should never be permitted.
8,EPA-HQ-OPP-2024-0562-0458,"Posted by the Environmental Protection Agency on Feb 18, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Maine is a largely rural state with many small farmers and indigenous peoples. We have clean air and water. Our land is largely forested and maintained by private owners who value the environment. Please do not harm peoples’ ability to decide for themselves how their communities protect their natural resources.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Jane Shattuck
New Portland, ME 04961-3130"
9,EPA-HQ-OPP-2024-0562-0467,"Posted by the Environmental Protection Agency on Feb 18, 2025",We need to increase pesticide bans! Absolutely do not reduce the protections we have. We are facing mass extinctions on a scale I can't even fathom. Without pollinators our entire food chain collapses. Without protections for playgrounds we increase childhood cancer rates. Pesticides cause earthworms to have seizures up to 20 generations AFTER first use. We need to ban all of these toxic chemicals for the well-being of every living creature and human being on this planet. Choose to be on the side of the future abundance - please do not choose to be the downfall of all life on earth.
10,EPA-HQ-OPP-2024-0562-0473,"Posted by the Environmental Protection Agency on Feb 18, 2025","I ask you to deny the petition submitted by the attorneys general (AGs), which misrepresents the authority and responsibility of state governments in protecting public health and safety.

While the petition targets California's Proposition 65 warnings on glyphosate products, its implications extend far beyond this issue and threaten to undermine states' ability to regulate pesticides under the Federal Insecticide, Fungicide, and Rodenticide Act (FIFRA). In 2019, the Environmental Protection Agency (EPA) informed California’s Office of Environmental Health Hazard Assessment (OEHHA) that its glyphosate labeling violated FIFRA. However, OEHHA clarified that Proposition 65 is a right-to-know law designed to provide clear warnings to the public about chemicals listed as carcinogens or reproductive toxins, including glyphosate. These warnings empower Californians to make informed decisions about their exposure to hazardous chemicals.

Proposition 65 mandates the listing of chemicals, at a minimum, based on classifications from the International Agency for Research on Cancer (IARC). In 2015, IARC classified glyphosate as a probable carcinogen, prompting California to list it under Proposition 65. As a result, businesses are required to provide warnings when their products containing glyphosate expose individuals to potentially harmful levels of the chemical unless those levels are below the specified threshold.

In 2022, the EPA affirmed that California could include IARC's classification in its warning labels. While California offers flexibility in how these warnings are communicated, pesticide labels have historically been the method for conveying such critical information. Court decisions have underscored the importance of these warnings in holding manufacturers accountable for failing to inform consumers of potential risks. The U.S. Supreme Court’s ruling in Bates v. Dow Agrosciences (2005) reaffirmed the legal duty of manufacturers to warn consumers about the risks associated with their products, including pesticides.

FIFRA allows states to regulate the sale or use of federally registered pesticides, but only if the regulation does not conflict with federal law or permit the sale or use of products prohibited by it. However, the AGs' petition seeks to prevent states from requiring hazard warnings on pesticide labels, putting consumers at greater risk of harm.

States and local governments have a long history of implementing protective measures to safeguard their residents, land, and water. This right to protect public health has been upheld by the U.S. Supreme Court. The petition by the AGs, however, seems to disregard the welfare of their residents by prioritizing uniformity over safety. It implies that if people, including farmers, suffer harm from pesticides due to a failure to warn, they should not be able to seek compensation, even if the warning is legally required.

The courts have consistently upheld the responsibility of both states and manufacturers to warn consumers of the hazards posed by pesticides. This duty is in no way inconsistent with federal pesticide laws, including those governing ""misbranding.""

Please uphold the rights of states to protect their citizens and deny the AGs' petition.

Sincerely,
Mr.-Mr. Gary Gover
300 Lincoln St Fairhope, AL 36532-2818
govers@bellsouth.net"
11,EPA-HQ-OPP-2024-0562-0490,"Posted by the Environmental Protection Agency on Feb 18, 2025","Massachusetts residents have successfully gotten our state legislature to pass important regulations to restrict pesticide use in areas such as playgrounds. Americans must be protected from harmful pesticides in these and other areas where vulnerable people and wildlife live, work, and play. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Plainfield Agricultural Commission
Plainfield, MA 01070-9794"
12,EPA-HQ-OPP-2024-0562-0498,"Posted by the Environmental Protection Agency on Feb 18, 2025","EPA-HQ-OPP-2024-0562, do not approve this change, removing the warnings from these chemicals which have been proven to cause cancer would remove a layer of notification which may have been different in various states who have already settled cases where there is a known damage to humans or animals. States should have the ability to control what is required as each state is made up of individuals with different opinions."
13,EPA-HQ-OPP-2024-0562-0491,"Posted by the Environmental Protection Agency on Feb 18, 2025","I am writing with an urgent message to protect the health and vitality of our school-age children and our environment. We must protect local and state regulations and notifications about pesticides. Many many children (and adults) are very sensitive to chemicals in pesticides. Chemicals cause and exacerbate many health issues, such as obesity, diabetes, heart disease, cancer, infertility, and mental health disorders, all of which are robbing our children and adults of their fullest potential. Your agency is supposed be all about protecting us, and the environment, from these very harmful chemicals. I am truly concerned about soil and water quality, marine life, insects, birds, and endangered species. We have the most beautiful ecosystem and your agency is charged with protecting it and our children from these pesticides. Thank you."
14,EPA-HQ-OPP-2024-0562-0500,"Posted by the Environmental Protection Agency on Feb 18, 2025","Allowing state and local governments the freedom to protect their populations and environments from harmful pesticides is so important, both from an environmental standpoint and from a local self-determination standpoint. Don't cave to big agriculture and take that freedom away!"
15,EPA-HQ-OPP-2024-0562-0462,"Posted by the Environmental Protection Agency on Feb 18, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

As a mother, grandmother, and scientist I believe that these standards cannot be lessened but need to be increased. My career included doing pesticide residue studies and market basket studies which impacted the daily choices I made for my family and the way we lived and my concern for continued strict regulation.

Thank you,
Lynn Heiman
Laporte, CO 80535-9765"
16,EPA-HQ-OPP-2024-0562-0471,"Posted by the Environmental Protection Agency on Feb 18, 2025","Over 140 mayors, lawmakers and other officials from more than 30 states are standing together to urge Congress to reject legislation that would limit longstanding state and local pesticide safety rules. They’re joined by hundreds of members of Congress and 185 environmental, health and agricultural organizations. Congress should heed these calls and reject legislative proposals to block state and local laws put in place to safeguard communities."
17,EPA-HQ-OPP-2024-0562-0486,"Posted by the Environmental Protection Agency on Feb 18, 2025","***Several states and localities have made the morally and ecologically correct determination that certain classes of pesticides are not compatible with human or ecological health. This proposed preemption constitutes an authoritarian imposition of pesticides where they are not wanted, and the legislative insistence upon alternative facts where the actual facts of science are inconvenient for industry and their pliant regulators. If EPA and USDA are institutionally incapable of following the scientific evidence to the policy conclusion that neonicotinoids, glyphosate, chlorpyrifos, and other pesticides are unacceptably destructive, they can at least allow states and localities the role of rational regulators.***

Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Jim Steitz
Gatlinburg, TN 37738-5671"
18,EPA-HQ-OPP-2024-0562-0463,"Posted by the Environmental Protection Agency on Feb 18, 2025","States have the right to protect their residents from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Every state has the right to enact local pesticide laws that protect their unique local environments and communities, including vulnerable people like children, from toxic pesticides. Overturning those laws would also keep state governments from responding to emerging risks and prohibit notifications to parents when toxic pesticides will be sprayed at schools, parks, or adjacent to such public spaces.

Please reject the petition for rulemaking in document EPA-HQ-OPP-2024-0562-0001 to protect these important local laws.

Thank you,
Ray Franklin
Fort Collins, CO 80524-3428"
19,EPA-HQ-OPP-2024-0562-0466,"Posted by the Environmental Protection Agency on Feb 18, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.
With the knowledge we currently possess regarding the toxicity of products used in agriculture, our backyards, emissions from cars and manufacturing, it is imperative we protect our E
arth, our soil, water, air and the health of all creatures, great and small. When we lose the least among us, it impacts us all.

Thank you,
Melissa Riley
Loveland, CO 80537-6166"
