,Unnamed: 0,Region,Year,Product,Purpose,Time (Hrs./Ac),Labor Cost,Fuel,Lube & Repairs,Material Cost,Custom/Rent,Total Cost,true?
0,0,INTERMOUNTAIN REGION (),2016,orchardgrass-hay,to ESTABLISH ORCHARDGRASS,0.16,9.0,2.0,2.0,104.0,16.0,132.0,True
1,1,INTERMOUNTAIN REGION (),2016,orchardgrass-hay,to PRODUCE ORCHARDGRASS,1.5,74.0,5.0,4.0,342.0,33.0,457.0,True
3,3,TABLE 4a. COSTS PER ACRE TO PRODUCE AND HARVEST RASPBERRIES – PRODUCTION YEAR 1,Unknown,raspberries,Unknown,232.86,7048.0,92.0,44.0,2691.0,789.0,10665.0,True
5,5,TABLE 5a. COSTS PER ACRE TO PRODUCE AND HARVEST RASPBERRIES – PRODUCTION YEAR 2,Unknown,raspberries,Unknown,260.46,6285.0,110.0,57.0,2989.0,1089.0,10530.0,True
7,7,TABLE 6a. COSTS PER ACRE TO PRODUCE AND HARVEST RASPBERRIES – PRODUCTION YEAR 3,Unknown,raspberries,Unknown,138.85,3352.0,53.0,27.0,1704.0,551.0,5686.0,True
9,9,SAN JOAQUIN VALLEY SOUTH –,2018,tomatoes,TO PRODUCE PROCESSING TOMATOES,3.67,222.0,46.0,28.0,1358.0,821.0,2475.0,True
10,10,SAN JOAQUIN VALLEY SOUTH –,2018,tomatoes,TO PRODUCE PROCESS TOMATOES,8.0,8.0,8.0,9.0,8.0,35.0,999.0,True
11,11,TABLE 1. CULTURAL COSTS PER ACRE TO PRODUCE PROCESSING TOMATOES (SDI),Unknown,tomatoes,Unknown,7.29,564.84,141.0,58.0,1267.0,608.0,2639.0,True
12,12,TABLE 3. MONTHLY CASH COSTS PER ACRE TO PRODUCE PROCESSING TOMATOES (SDI),Unknown,tomatoes,Unknown,18.0,18.0,18.0,22.0,18.0,89.0,784.0,True
13,13,Central Coast,2015,spinach,TO PRODUCE AND HARVEST ORGANIC SPINACH*,7.68,722.0,228.0,153.0,3043.0,191.0,4336.0,True
15,15,Sacramento Valley,2018,sunflowers,TO PRODUCE SUNFLOWERS,2.63,170.0,28.0,10.0,416.0,24.0,649.0,True
16,16,Sacramento Valley,2018,sunflowers,TO PRODUCE SUNFLOWERS,6.0,6.0,6.0,6.0,6.0,6.0,122.0,True
17,17,SAN JOAQUIN VALLEY NORTH,2017,cherries,TO PRODUCE CHERRIES,11.37,1273.0,90.0,56.0,1488.0,59.0,2967.0,True
19,19,TABLE 1. COSTS PER ACRE TO PRODUCE AND HARVEST WRAPPED ICEBERG LETTUCE,Unknown,lettuce,Unknown,26.33,929.0,470.0,241.0,2209.0,646.0,4495.0,True
20,20,TABLE 3. MONTHLY COSTS PER ACRE TO PRODUCE AND HARVEST WRAPPED ICEBERG LETTUCE,Unknown,lettuce,Unknown,455.0,328.0,995.0,1600.0,504.0,613.0,4495.0,True
21,21,TABLE 1. COSTS PER ACRE TO PRODUCE AND HARVEST ROMAINE HEARTS LETTUCE,Unknown,lettuce,Unknown,26.32,929.0,461.0,242.0,2343.0,666.0,4642.0,True
22,22,TABLE 3. MONTHLY COSTS PER ACRE TO PRODUCE AND HARVEST ROMAINE HEARTS LETTUCE,Unknown,lettuce,Unknown,454.0,328.0,1153.0,1614.0,492.0,601.0,4642.0,True
23,23,SACRAMENTO VALLEY & NORTHERN SAN JOAQUIN VALLEY,2020,alfalas,TO ESTABLISH AN ALFALFA STAND,3.49,138.0,89.0,37.0,339.0,28.0,631.0,True
24,24,SACRAMENTO VALLEY & NORTHERN SAN JOAQUIN VALLEY,2020,alfalas,TO PRODUCE ALFALFA HAY,1.65,224.0,28.0,11.0,524.0,12.0,798.0,True
26,26,Intermountain Region Scott Valley–,2020,alfalas,TO ESTABLISH ALFALFA,3.72,130.0,52.0,22.0,255.0,34.0,493.0,True
27,27,Intermountain Region Scott Valley–,2020,alfalas,TO PRODUCE ALFALFA,2.17,141.0,11.0,5.0,323.0,46.0,526.0,True
29,29,CALIFORNIA –,2020,alfalas,TO ESTABLISH AN ORGANIC ALFALFA STAND,0.77,35.0,8.0,3.0,131.0,19.0,197.0,True
31,31,SOUTHERN SAN JOAQUIN VALLEY (),2016,alfalas,to ESTABLISH ALFALFA (300 Acres),1.34,50.0,30.0,18.0,389.0,176.0,664.0,True
32,32,SOUTHERN SAN JOAQUIN VALLEY (),2016,alfalas,to PRODUCE ALFALFA (300 Acres),0.97,55.0,4.0,2.0,893.0,1.0,956.0,True
