"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BERRY TOTALS","BERRY TOTALS, ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","(H)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BERRY TOTALS","BERRY TOTALS, ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","71.9"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BERRY TOTALS","BERRY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","71.9"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BERRY TOTALS","BERRY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","985","72.2"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BERRY TOTALS","BERRY TOTALS, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","71.9"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BERRY TOTALS","BERRY TOTALS, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","985","72.2"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","3","97.0"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","3","97.0"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC - PRODUCTION, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","75","97.0"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC - SALES, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","75","97.0"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","3","97.0"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","75","97.0"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, TAME, ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, TAME, ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, TAME, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, TAME, ORGANIC - PRODUCTION, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, TAME, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, TAME, ORGANIC - SALES, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, TAME, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, TAME, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BLUEBERRIES","BLUEBERRIES, TAME, ORGANIC, FRESH MARKET - SALES, MEASURED IN LB","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,270","85.5"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","FIELD CROP TOTALS","FIELD CROP TOTALS, ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","68.7"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","FRUIT TOTALS","FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","(H)"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","FRUIT TOTALS","FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","71.9"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","FRUIT TOTALS","FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","71.9"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","FRUIT TOTALS","FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","985","72.2"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","FRUIT TOTALS","FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","71.9"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","FRUIT TOTALS","FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","985","72.2"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA), ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,270","85.5"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA), ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","68.7"
"CENSUS","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA), ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2,706","93.5"
