"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2023","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED - ACRES HARVESTED","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","690","(H)"
"CENSUS","2023","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED - ACRES HARVESTED","TOTAL","NOT SPECIFIED","690","(H)"
"CENSUS","2023","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED - ACRES HARVESTED","WATER SOURCE","WATER SOURCE: (ON FARM SURFACE)","690","(H)"
"CENSUS","2023","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED - OPERATIONS WITH AREA HARVESTED","AREA IRRIGATED, HARVESTED","AREA IRRIGATED, HARVESTED: (25.0 TO 49.9 ACRES)","23","(H)"
"CENSUS","2023","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED - OPERATIONS WITH AREA HARVESTED","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","23","(H)"
"CENSUS","2023","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","23","(H)"
"CENSUS","2023","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED - OPERATIONS WITH AREA HARVESTED","WATER SOURCE","WATER SOURCE: (ON FARM SURFACE)","23","(H)"
"CENSUS","2023","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - ACRES HARVESTED","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - ACRES HARVESTED","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - ACRES HARVESTED","TOTAL","NOT SPECIFIED","46,636","21.2"
