,Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
7008,SURVEY,2023,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"320,000",
7009,SURVEY,2023,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,000",
7010,SURVEY,2023,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"374,000",
7011,SURVEY,2023,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"374,000",
7012,SURVEY,2023,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,034,000",
7013,SURVEY,2023,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,HAY,HAY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"680,000",
7014,SURVEY,2023,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA) - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"680,000",
7015,SURVEY,2023,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,215,
7016,SURVEY,2023,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN, FIBER - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7017,SURVEY,2023,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN, FLORAL - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7018,SURVEY,2023,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"171,000",
7019,SURVEY,2023,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"340,000",
7020,SURVEY,2023,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"145,000",
7021,SURVEY,2023,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"145,000",
7022,SURVEY,2023,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,BARLEY,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"6,000",
7023,SURVEY,2023,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"26,000",
7024,SURVEY,2023,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,HAY,HAY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"20,000",
7025,SURVEY,2023,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA) - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"20,000",
7026,SURVEY,2023,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7027,SURVEY,2023,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN, FIBER - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7028,SURVEY,2023,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN, FLORAL - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
7029,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,BARLEY,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"15,000",
7030,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,BROCCOLI,BROCCOLI - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"12,400",
7031,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,CABBAGE,CABBAGE - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"3,900",
7032,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,CAULIFLOWER,CAULIFLOWER - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"7,200",
7033,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"38,000",
7034,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"66,000",
7035,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"91,000",
7036,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,COTTON,"COTTON, PIMA - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"16,000",
7037,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"75,000",
7038,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"592,000",
7039,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,HAY,HAY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"345,000",
7040,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA) - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"65,000",
7041,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,HAY,"HAY, ALFALFA - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"280,000",
7042,SURVEY,2023,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,HEMP,"HEMP, INDUSTRIAL, IN THE OPEN - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),
