,state_ansi,week_ending,begin_code,county_code,county_name,end_code,Value,asd_code,country_name,state_fips_code,location_desc,reference_period_desc,state_alpha,county_ansi,domain_desc,util_practice_desc,congr_district_code,freq_desc,unit_desc,year,region_desc,group_desc,commodity_desc,CV (%),domaincat_desc,short_desc,statisticcat_desc,source_desc,zip_5,class_desc,watershed_code,agg_level_desc,watershed_desc,country_code,state_name,load_time,asd_desc,prodn_practice_desc,sector_desc
0,06,,00,,,00,"5,897",,UNITED STATES,06,CALIFORNIA,YEAR,CA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,ALMONDS,9.4,ORGANIC STATUS: (NOP USDA CERTIFIED),"ALMONDS, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,CALIFORNIA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
2,01,,00,,,00,                 (D),,UNITED STATES,01,ALABAMA,YEAR,AL,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,ALABAMA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
3,02,,00,,,00,                 (D),,UNITED STATES,02,ALASKA,YEAR,AK,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,ALASKA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
4,04,,00,,,00,                 (D),,UNITED STATES,04,ARIZONA,YEAR,AZ,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,ARIZONA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
5,05,,00,,,00,                 (D),,UNITED STATES,05,ARKANSAS,YEAR,AR,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,ARKANSAS,2016-01-31 00:00:00.000,,ORGANIC,CROPS
6,06,,00,,,00,"2,460",,UNITED STATES,06,CALIFORNIA,YEAR,CA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,14.4,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,CALIFORNIA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
7,08,,00,,,00,219,,UNITED STATES,08,COLORADO,YEAR,CO,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,18.8,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,COLORADO,2016-01-31 00:00:00.000,,ORGANIC,CROPS
8,09,,00,,,00,                 (D),,UNITED STATES,09,CONNECTICUT,YEAR,CT,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,CONNECTICUT,2016-01-31 00:00:00.000,,ORGANIC,CROPS
9,13,,00,,,00,                 (D),,UNITED STATES,13,GEORGIA,YEAR,GA,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,(D),ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,GEORGIA,2016-01-31 00:00:00.000,,ORGANIC,CROPS
10,16,,00,,,00,3,,UNITED STATES,16,IDAHO,YEAR,ID,,ORGANIC STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,ACRES,2016,,FRUIT & TREE NUTS,APPLES,21.2,ORGANIC STATUS: (NOP USDA CERTIFIED),"APPLES, ORGANIC - ACRES HARVESTED",AREA HARVESTED,CENSUS,,ALL CLASSES,00000000,STATE,,9000,IDAHO,2016-01-31 00:00:00.000,,ORGANIC,CROPS
