State,2023 Planted,2024 Planted,2023 Harvested,2024 Harvested
Alaska,7,8,6,7
Arizona,17,15,15,12
California,40,45,19,23
Colorado,54,48,51,42
Delaware,21,21,12,14
Idaho,570,580,540,540
Kansas,16,18,5,6
Maine,11,12,9,11
Maryland,31,31,13,17
Michigan,7,8,6,5
Minnesota,60,40,54,25
Montana,1190,1020,1015,790
New York,9,8,5,5
North Carolina,16,16,10,10
North Dakota,690,360,570,300
Oregon,41,36,24,19
Pennsylvania,47,40,28,26
South Dakota,38,25,9,9
Utah,16,17,14,11
Virginia,30,24,6,6
Washington,95,85,84,72
Wisconsin,12,20,2,7
Wyoming,83,80,58,60
United States,3101,2557,2555,2017
