State,2023 Planted,2024 Planted,2023 Harvested,2024 Harvested
Arkansas,8,NA,5,NA
California,90,NA,5,NA
Georgia,55,60,15,20
Idaho,45,40,12,10
Illinois,55,55,17,14
Iowa,190,210,95,120
Kansas,185,175,30,35
Maine,22,24,21,22
Michigan,50,50,25,30
Minnesota,165,180,87,115
Missouri,32,NA,9,NA
Montana,65,60,22,25
Nebraska,155,150,24,32
New York,61,60,44,38
North Carolina,37,34,14,12
North Dakota,280,280,105,130
Ohio,40,50,15,15
Oklahoma,140,NA,13,NA
Oregon,20,20,12,12
Pennsylvania,70,61,47,41
South Dakota,265,250,69,83
Texas,390,410,70,50
Wisconsin,135,130,75,68
United States,2555,2299,831,872
