State,2023 planted for all purposes,2024 planted for all purposes,2023 area harvested for grain,2024 area harvested for grain
Alabama,350,350,345,345
Arkansas,2980,3050,2950,3020
Delaware,150,155,148,153
Georgia,160,160,155,155
Illinois,10350,10700,10300,10650
Indiana,5500,5750,5480,5730
Iowa,9950,9900,9880,9820
Kansas,4430,4550,4030,4500
Kentucky,1830,2050,1820,2040
Louisiana,1030,1170,980,1130
Maryland,470,480,460,470
Michigan,2040,2250,2030,2240
Minnesota,7350,7600,7280,7530
Mississippi,2180,2250,2130,2210
Missouri,5600,5600,5520,5530
Nebraska,5250,5300,5180,5250
New Jersey,100,110,98,108
New York,350,345,340,340
North Carolina,1640,1550,1630,1540
North Dakota,6200,6800,6160,6750
Ohio,4750,4850,4730,4830
Oklahoma,460,460,410,410
Pennsylvania,570,610,560,600
South Carolina,395,380,385,370
South Dakota,5100,5100,5070,5050
Tennessee,1600,1700,1570,1670
Texas,125,100,85,80
Virginia,580,630,570,620
Wisconsin,2110,2150,2060,2120
United States,83600,86100,82356,85261
