State,2023 Planted,2024 Planted,2023 Harvested,2024 Harvested
Alabama,205,120,145,75
Arkansas,230,140,165,95
California,320,280,80,75
Colorado,2300,2100,1820,1830
Delaware,80,70,69,48
Georgia,195,145,85,70
Idaho,750,750,630,690
Illinois,840,770,780,700
Indiana,405,320,335,250
Kansas,8100,7700,5750,7150
Kentucky,610,560,460,410
Maryland,340,325,195,175
Michigan,600,420,560,375
Mississippi,120,70,95,40
Missouri,780,680,600,520
Montana,1850,1950,1680,1900
Nebraska,1130,1000,880,900
New Jersey,34,NA,32,NA
New Mexico,405,380,85,95
New York,150,135,120,100
North Carolina,480,410,400,320
North Dakota,155,120,145,110
Ohio,650,530,590,460
Oklahoma,4550,4350,2450,2700
Oregon,740,730,725,715
Pennsylvania,280,240,230,160
South Carolina,110,85,95,75
South Dakota,920,870,700,780
Tennessee,470,380,390,310
Texas,6400,5700,2100,2450
Utah,105,105,87,90
Virginia,200,150,135,85
Washington,1800,1850,1750,1790
Wisconsin,280,265,230,190
Wyoming,115,105,90,75
United States,36699,33805,24683,25808
