State,sorghum,soybean,hay,flaxseed,canola,safflower,barley,peanut,proso_millet,other_spring_wheat,dry_edible_pea,winter_wheat,sugarbeet,lentil,rice,chickpeas,rye,cotton,sugarcane,oat,tobacco,corn_planted,sunflower,wheat,dry_edible_bean,potato,durum_wheat
Alabama,0.0,350.0,680.0,0.0,0,0,0.0,0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0,380.0,0.0,0.0,0.0,330.0,0.0,205.0,0.0,0.0,0.0
Alaska,0.0,0.0,20.0,0.0,0,0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,0.0,0.0,345.0,0.0,0,0,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,92.0,0.0,0.0,0.0,105.0,0.0,38.0,0.0,0.0,38.0
Arkansas,0.0,2980.0,1162.0,0.0,0,0,0.0,0,0.0,0.0,0.0,230.0,0.0,0.0,1436.0,0.0,0,510.0,0.0,8.0,0.0,850.0,0.0,230.0,0.0,0.0,0.0
California,0.0,0.0,830.0,0.0,0,0,40.0,0,0.0,0.0,0.0,320.0,23.0,0.0,515.0,4.4,0,98.0,0.0,90.0,0.0,400.0,28.5,338.0,16.0,23.0,18.0
Colorado,510.0,0.0,1220.0,0.0,0,0,54.0,0,390.0,0.0,0.0,2300.0,23.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1330.0,34.0,2300.0,33.0,55.0,0.0
Connecticut,0.0,0.0,53.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
Delaware,0.0,150.0,12.0,0.0,0,0,21.0,0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,175.0,0.0,80.0,0.0,0.0,0.0
Florida,0.0,0.0,320.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,89.0,407.6,0.0,0.0,90.0,0.0,0.0,0.0,21.0,0.0
Georgia,0.0,160.0,510.0,0.0,0,0,0.0,0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0,1110.0,0.0,55.0,6.3,485.0,0.0,195.0,0.0,0.0,0.0
Hawaii,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,0.0,0.0,1300.0,0.0,0,0,570.0,0,0.0,410.0,19.0,750.0,175.0,18.0,0.0,72.0,0,0.0,0.0,45.0,0.0,360.0,0.0,1170.0,35.0,330.0,10.0
Illinois,0.0,10350.0,410.0,0.0,0,0,0.0,0,0.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,0,0.0,0.0,55.0,0.0,11200.0,0.0,840.0,0.0,0.0,0.0
Indiana,0.0,5500.0,530.0,0.0,0,0,0.0,0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5450.0,0.0,405.0,0.0,0.0,0.0
Iowa,0.0,9950.0,1010.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,190.0,0.0,13100.0,0.0,0.0,0.0,0.0,0.0
Kansas,3600.0,4430.0,2795.0,0.0,0,0,16.0,0,0.0,0.0,0.0,8100.0,0.0,0.0,0.0,0.0,0,112.0,0.0,185.0,0.0,5750.0,34.0,8100.0,0.0,0.0,0.0
Kentucky,0.0,1830.0,2070.0,0.0,0,0,0.0,0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,36.8,1600.0,0.0,610.0,0.0,0.0,0.0
Louisiana,0.0,1030.0,390.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,0,120.0,505.5,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0
Maine,0.0,0.0,128.0,0.0,0,0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,22.0,0.0,28.0,0.0,0.0,0.0,53.0,0.0
Maryland,0.0,470.0,205.0,0.0,0,0,31.0,0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,480.0,0.0,340.0,0.0,0.0,0.0
